YEAR,FILM,DIRECTOR,CITY,STATE,COUNTRY,CATEGORY,AWARDS,THEMES,SYNOPSIS
2017,Almost Paris,Domenica Cameron-Scorsese,Los Angeles,CA,US,Feature,Audience Choice,Null,"Almost grown-up. Almost sorry. Almost love. In the wake of the mortgage-lending crisis, a former banker returns to his hometown. Faced with his family and childhood friends— and seeing the impact of his actions— our hero learns to show up and give back to those he loves in ways that are priceless."
2017,Ben and Ara,Nnegest Likke,Los Angeles,CA,US,Feature,None,BIPOC,"Ben, a passionately agnostic PhD student, falls behind in his dissertation and is surprised to find a muse in Ara, a devout Muslim. Ben and Ara soon fall in love but grapple with differences in their core beliefs and lifestyle choices. They discover that when two cultures touch each other, the consequences can be magical and tragic."
2017,Children of the Mountain,Priscilla Anany,Staten Island,NY,US,Feature,Best Actress,BIPOC,"After a dubious affair with a neighbor’s spouse, ESSUMAN (33) becomes pregnant with his highly anticipated male child. Through a difficult delivery NUKU is born with a cleft lip prompting his father to reject the baby. Nuku is further diagnosed with cerebral palsy. Essuman is determined to find healing for her son leading her to go from hospital to hospital and then to dubious medicine men and pastors who take advantage of her."
2017,Family Possessions,Tommy Faircloth,Columbia,SC,US,Feature,None,Null,"A young girl, Rachael Dunn, inherits the mansion of her estranged grandmother Albertha Dunn. Rachael and her family move into the house to start a new life but once there, strange and unexplained occurrences begin to happen. Rachael uncovers a secret that had been hidden from her and she soon realizes that some family secrets should remain...buried."
2017,Fare,Thomas Torrey,Fort Mill,SC,US,Feature,Best Actor,Null,A driver for hire finds himself transporting the man who is secretly having an affair with his wife.
2017,Saturn Returns,Shawn Tolleson,Vancouver,Null,Canada,Feature,Best Feature,Null,"Five college friends on the cusp of 30 reunite for a wedding weekend. When the long-lost sixth friend - the former best friend of the groom and soul mate of the bride - shows up uninvited and unexpected, they are each forced to reexamine their lives and choices."
2017,Gardeners of the Forest,"Ceylan Carhoglu, Nicole Jordan Webber",Orange,CA,US,Documentary,None,BIPOC,"For generations, Laos was known as the Land of a Million Elephants. Today, there are around 600 elephants left in Laos. If the Laotian elephants become extinct, not only does it mean a loss of one of the largest mammals on earth but also the loss for Laotian history and culture. This documentary will explore how the Chinese market, deforestation, and tourism all play a role in the imminent extinction of elephants in Laos."
2017,Love Bite,James Scott,East Sussexx,Null,United Kingdom,Documentary,None,Null,"For generations, Laos was known as the Land of a Million Elephants. Today, there are around 600 elephants left in Laos. If the Laotian elephants become extinct, not only does it mean a loss of one of the largest mammals on earth but also the loss for Laotian history and culture. This documentary will explore how the Chinese market, deforestation, and tourism all play a role in the imminent extinction of elephants in Laos."
2017,Robert Shaw: Many of Many Voices,"Peter Miller, Pamela Roberts",Chicago,IL,US,Documentary,Best Documentary,Null,Robert Shaw – Man of Many Voices is more than a remarkable story about the unbelievable rise of a great symphonic conductor from a background of pop music and very little formal training. It is also a moving tale of a man wrestling demons while still creating choral music that towers as the gold standard even today. It is a film the New York Times has called “poignant and compelling.”
2017,The Red Grifo,Guy Smith,Hilton Head Island,SC,US,Documentary,None,Null," Motoring through the New York countryside Darren Frank is flagged down by an excited driver claiming to own a car just like the one he is driving. Owning a super-rare Italian car gets Darren plenty of second looks, but not many of them are still on the road."
2017,Trigger,David Barnhart,Atlanta,GA,US,Documentary,None,Null,"In the United States more than 30,000 people are killed every year by gun violence and more than 100,000 are wounded. The traumatic impact of gun violence can be seen in almost every community."
2017,Voices from Vietnam,Ray Smith,Blythewood,SC,US,Documentary,None,Null,"This documentary tells stories about being at war, coming home and the challenges of resuming life as told by Veterans of the Vietnam war which ended 50 years ago. The memories are still fresh and the pain continues."
2017,3000,Antonis Tsonis,Athens,Null,Greece,Short,None,Null,"When Leon’s best friend Ari shares tragic news about his battle with cancer, unemployed and desperate to help, Leon secretly decides to become a criminal to pay for more cancer treatments. Against the backdrop of contemporary Athens, Greece, Leon’s actions to save his best friend have irreversible consequences."
2017,Coming to Terms,David Bertran,Barcelona,Null,Spain,Short,None,Null,"Having to face the death of their father, Eddie and Sally try to do their best in understanding the concept of death. At their tender age of 8 and 10, they fully rely on their religious father’s teachings. When life in Heaven seems ideal, they make a decision that nobody could have expected."
2017,In a Room at the Edge of Inifity,Geoffrey Gunn,Greenville,SC,US,Short,None,Null,A therapist tries to help a young man suffering from a strange form of insomnia.
2017,In Memory,Robert Kirbyson,Glendora,CA,US,Short,None,Null,"In a seemingly utopian future, an elderly woman struggles to accept that it seems like it's her turn to die."
2017,Mia,Felix Martiz,Los Angeles,CA,US,Short,Best Short,Null,"A moody atmospheric retelling of the classic latin folklore tale 'La Llorona', in which a grief struck woman waits for the return of her dead child."
2017,My Lucahdor,Shea Sizemore,Charlotte,NC,US,Short,None,BIPOC,An aging Luchador finds himself behind a computer working in a cube. His successful and loving wife helps him find his way.
2017,Reconcile,Marcus Lucas,Boulder,CO,US,Short,None,Null,A jaded man sets out for America to find his lost inner peace by meeting the last living soul that connects their estranged families which have been anguished for decades.
2017,The Land of Exodus,Skinner Myers,Los Angeles,CA,US,Short,None,BIPOC,"Obed, a Mexican street kid with hopes of making it to America, leads a recently kidnapped American teenager to the Mexico/United States border."
2017,Twice Upon a Time,Iliana Guibert,Wykcoff,NJ,US,Short,None,Null,"After five years, WTC widow Isabel is still mourning her husband's death. Since the loss she's consumed herself with her career and raising their son Eric Jr. but children grow up and now Eric Jr. is off to college leaving Isabel an empty nester. Her concerned friends persuade her to join an on line dating site but things are not always what they seem."
2017,Under a Stone,Bill Klayer,New York,NY,US,Short,None,Null,"A woman returns to her hometown for a family obligation. She reunites with her brother, but they clash in how they cope with their awful past."
2017,We Can't Die,LuAnn Nicosia,Menifee,CA,US,Short,None,Null,"A down and out screenwriter, who has lost all hope, makes a decision to give up writing. One night, in desperation, he tosses all his scripts in a box to throw out. Later that night, as the clock ominously strikes midnight, he soon discovers that sometimes stories have a life of their own."
2017,Icarus,Tom Teller,Orange,CA,US,Student,None,Null,"When a Mars colony's comm satellite is damaged, Emilia Riley embarks on a seemingly harmless repair excursion. A shuttle malfunction cuts connectivity to the ground and Chris, her son, makes the knee jerk decision to go after her."
2017,Rajam,Amanda Renee Knox,Orange,CA,US,Student,None,BIPOC," A Syrian woman living under strict Sharia Law is accused of adultery, imprisoned and sentenced to death by stoning."
2017,At Ease,Jacob Kirby,Savannah,GA,US,Student,None,Null,"Following an absence of three years, an on-leave Marine returns home to make amends with his ex-girlfriend on her wedding day."
2017,Echoes of a Note,Christ Mathews,Winston-Salemn,NC,US,Student,None,Null,None given. 
2017,One Day On Carver Street,Azure Allen,Myrtle Beach,SC,US,Student,None,BIPOC,"Using hand drawn animation at 12 frames per second, One Day on Carver Street tells the story of Charlie's Place and its owner, Charlie Fitzgerald. Charlie's Place was a stop on the famous Chitlin' Circuit, and hosted the hottest musicians of the day."
